name,city,price
Launchpad to city & mountains,Cape Town,1203
Lungi's Township B&B: Blue Room,Cape Town,601
Lungi's Township B&B: Red Room,Cape Town,601
Classic Double Room,Cape Town,867
Classic Twin Room,Cape Town,783
Victorian Double room,Cape Town,867
Single Room,Cape Town,867
Trible Room,Cape Town,895
Garden Cottage,Cape Town,895
Bright garden apartment in leafy central suburb,Cape Town,965
"Comfortable room in Observatory, Cape Town.",Cape Town,448
Lovely Suburban Apartment,Cape Town,1049
Designers dream with a view,Cape Town,1650
Spacious home in quiet area,Cape Town,2643
Cozy room in cottage,Durbanville,503
The Cottage 33 Strawberry Lane,Cape Town,2196
Tranquil Home in Perfect Quiet Secure Location,Cape Town,3496
Jungle Gym Dorm,Cape Town,1986
"Sunny, contemporary apartment",Cape Town,881
The Fish Room at Froggsleap,Hout Bay / Cape Town,1105
Beautiful Atlantic Seaboard,Cape Town,1007
Modern apartment in Cape Town CBD,Cape Town,1189
Entire home for New Year CT Holiday,Cape Town,2000
Glen Beach Villa Three B (Sleeps 4),Cape Town,2797
Villa Di Oceano,Cape Town,6503
Sutton Place 37,Cape Town,1748
Quaint apartment with perfect views,Cape Town,853
Garden Cottage in quiet Claremont.,Cape Town,517
Home Rental,Cape Town,5006
Fun and trendy apartment in the heart of Cape Town,Cape Town,1496
Sea and mountain views,Cape Town,5496
Gorgeous Green Point Gem (Sleeps 3),Cape Town,755
Lovely studio apartment close to the beach.,Cape Town,573
Beautiful family home close to Constantia.,Cape Town,2531
Spectacular Villa with a stunning view - Cape Town,Cape Town,7496
Quiet simple & stylish apartment 5 min from beach,Cape Town,1007
CAMPS BAY Next to the Beach Apartment,Cape Town,2196
Lovely sea and mountain views,Cape Town,3007
Summer Villa In Exclusive Private Estate,Cape Town,9999
Fully self-contained flat/apartment,Cape Town,951
Lovely central studio in Newlands,Cape Town,545
Beach Cabin with Ocean View from Roof Terrace,Cape Town,2783
"Private, quiet,secure, and  bright.",Cape Town,503
My Little Shangri-La,Cape Town,951
Greenmarket Square On Your Doorstep,Cape Town,1356
Ascot Terraces Holiday Apartment,Cape Town,1105
"Breathtaking views of the city, mountains and sea",Cape Town,909
Spacious family home,Durbanville,2098
Stunning home with amazing views,Cape Town,2993
"1 Armia, The Loft",Cape Town,951
peaceful home: sea & mountain views,Cape Town,1902
Charming Victorian home in the city,Cape Town,2000
"Heide Cottage in peaceful Somerset West, RSA",Cape Town,503
Peaceful Artistic Haven,Cape Town,699
Upmarket apartment in Claremont,Cape Town,1049
Contemporary Beach House,Cape Town,5384
House on Hilltop view Scarborough,Cape Town,1804
2 Bed City Centre Apartment with Pool,Cape Town,1049
Beautiful Kommetjie Beach House,Cape Town,6391
House in Oranjezicht,Cape Town,1091
Modern family home in Security Estate,Cape Town,5496
Experience CPT from Royal Ascot,Cape Town,2000
"Private Studio, 360 degree views",Cape Town,601
Chic Garden Apartment in Vredehoek,Cape Town,1245
5 minutes from the beach,Cape Town,755
Aloe House,Cape Town,4209
Mont Blanc 31,Cape Town,503
"Modern, sunny flat in vibey village",Cape Town,797
Victorian Style home near city life,Cape Town,601
Newlands Village Family house,Cape Town,2000
Villa with Beautiful Views,Cape Town,2000
City Bowl- stunning views- AAA location,Cape Town,5580
Walk to the Beach from Entertainer’s Dream House,Cape Town,4195
"Room for rent, separate enterance",Cape Town,406
Summer Home in Perfect Location,Cape Town,3300
Noordhoek,Cape Town,4000
Perfectly located modern 2 Bed in Three Anchor Bay,Cape Town,1231
HOUSE with Exceptional view close to city,Cape Town,4741
The Deanes in Sea Point,Cape Town,322
Beautiful apartment in Higgovale.,Cape Town,2000
Charming Woodstock 2BDRM with Pool & 2 Parking,Cape Town,895
Sea side cottage in Nature Reserve,Cape Town,2503
Clifton Aprtmnt- can sleep 4,Cape Town,2000
Palms suite,Cape Town,1035
"Modern house, views, prime estate",Cape Town,2503
Lavender suite,Cape Town,1035
Amatabeni - Renovated 5 bed entertainers dream,Cape Town,3986
8 Wack Wack Close,Cape Town,797
"Lemon Thyme Cottage, Rondebosch,",Cape Town,601
Bright apartment in Cape Town,Cape Town,643
"Pool, Indoor/Outdoor Barbeque, Space & Comfort",Cape Town,1482
Sea Castle on Camps Bay Golden mile,Cape Town,19998
Family home in Rondebosch Cape Town,Cape Town,2951
Falsebay View Villa,Cape Town,2000
North Facing Deluxe ensuite Room,Cape Town,839
Upmarket Apartment on Kloof Nek!,Cape Town,3496
Child friendly Victorian Semi,Cape Town,769
East Seaview Deluxe ensuite Room,Cape Town,839
Beautiful duplex in trendy Harfield Village,Cape Town,1063
"Sunny, Family-Friendly CPT home",Cape Town,3091
Modern 1 Bedroom apartment Seapoint,Cape Town,629
"Golf Estate: Safe, Secure on Beach",Cape Town,4000
Cosy Houtbay family home with views,Cape Town,1301
Large cottage in cul-de-sac,Cape Town,1496
Sociable open plan accommodation,Cape Town,3496
"Spacious, Modern Apartment",Cape Town,979
Sunny bedroom in Victorian house,Cape Town,587
Beaumont Cotttage,Cape Town,797
CAMPS BAY APARTMENT,Cape Town,2000
Home away from home,Cape Town,1496
Plum Tree Cottage Constantia,Cape Town,2000
★ Snug 1 bed & convenient locale☆,Cape Town,280
Beach Road holiday apartment,Cape Town,1496
Villa St tropez,Cape Town,5999
Villa with spectacular views in secure estate,Cape Town,7006
BANTRY BAY STUDIO PERFECT LOCATION,Cape Town,1007
Martins' Nest in High Constantia,Cape Town,993
Comfortable Loft Apartment,Cape Town,895
Stylish Central Flat with City View,Cape Town,1203
Clifton Sunsets,Cape Town,5650
The Other House,Cape Town,1203
Sunny bright Townhouse 5 mins from beach,Cape Town,1804
Cosy Apartment Room in Blouberg,Cape Town,1133
Mountain Fynbos Retreat near Scarborough,Cape Town,1007
magnificent house in Fresnaye,Cape Town,9999
Spacious Sea Point Room,Cape Town,601
"Modern family home, amazing views",Cape Town,3496
Hugo family home,Cape Town,4000
de Waterkant/Greenpoint indoor outdoor flow,Cape Town,1049
Upmarket Luxury Apartment,Cape Town,2279
Comfortable Apartment in St James,Cape Town,853
Secret garden home in BoKaap,Cape Town,601
Fresh seaside space with 360 views,Cape Town,1748
Self catering garden studio,Cape Town,350
Upmarket accommodation for 2 people,Cape Town,1133
Waterfront Working Harbour No 121 Harbour Bridge,Cape Town,1049
Cosy BoKaap,Cape Town,2755
Bloubergrand views views views,Cape Town,8433
"Welcoming home, perfectly located",Cape Town,4503
Cozy nest with Table Mountain view.,Cape Town,545
Luxury Garden Apartment,Cape Town,979
Best Sea Views,Cape Town,3007
Spacious Garden Apartment,Cape Town,3496
Newlands Family Home,Cape Town,3244
Hillside Cottage,Cape Town,643
Luxary 3 Bedroom apartment,Cape Town,1720
Phezulu self-catering lodge,Cape Town,1846
West Deluxe ensuite room Blauwberg,Cape Town,923
South Deluxe ensuite room Blauwberg,Cape Town,923
Happy home in Hout Bay,Cape Town,2405
Waterfront Working Harbour No 120 Harbour Bridge,Cape Town,1049
Southern suburbs creatives nest,Cape Town,601
Apartment in the heart of Sea Point,Cape Town,1496
Big Bay Beach Club - Unit 216,Cape Town,951
Exquisitely Designed Home on the Mountain in Constantia,Cape Town,5496
Crow's Nest,Cape Town,2503
Quaint semi detached house.,Cape Town,1049
Perfect location,Cape Town,503
Large en-suite with 180^sea view,Cape Town,1496
Large light double room in shared apartment,Cape Town,280
Constantia  Garden Suite - A character cottage,Cape Town,531
New York Style flat in Cape Town,Cape Town,392
Cosy apartment near wine route,Cape Town,643
Superb Apartment with a Perfect Roof Terrace,Cape Town,1496
"Sunny, open plan city house with pool and garden",Cape Town,2377
"Seperate entrance, self catering",Cape Town,406
City Centre Designer Apartment,Cape Town,545
Sun King 20,Cape Town,867
Bantry Bay : Seaside living,Cape Town,951
Awesome Family Home,Cape Town,4503
Exclusive loft apartment in the Hilton Hotel,Cape Town,643
Two rooms in a family home,Cape Town,699
Little Jewel in Tamboerskloof near Lions Head,Cape Town,713
Perfect Views from Perfect Location,Cape Town,1007
"Luxury, modern, Camps Bay, Penthouse Apartment",Cape Town,4951
Lily Cottage,Scarborough,601
Le-Grand Self Catering Accomodation,Cape Town,1105
Eagles Nest,Cape Town,489
Family Style Apartment close to the sea,Cape Town,2000
Family home conveniently located,Cape Town,1287
The olive grove,Cape Town,699
"Lavish, Secluded Villa with Phenomenal Views",Cape Town,9006
"Elegant Villa, Trendy De Waterkant with parking",Cape Town,1496
Easter on the Beach Front,Cape Town,2000
Bayside Views,Cape Town,5006
"2 Bed apartment Cape Town, Blouberg",Cape Town,993
The Stables,Cape Town,895
"Berry Cottage, homely, comfortable and private",Cape Town,699
"Little Liberty, a Sanctuary on the Slopes of Table Mountain",Cape Town,699
Beautiful Victorian Family Home,Cape Town,3748
Luxury Holiday Appartment,Cape Town,1496
3 BR house in Cape Town City Bowl,Cape Town,2797
Victorian House in Claremont suburb,Cape Town,1007
"Relaxing, easy going home.",Cape Town,1496
Spacious home in leafy suburb,Cape Town,1356
Pretty bedroom / Belle grande chambre,Cape Town,350
En-suite bedroom in a sunny home,Cape Town,294
Sunny artist home in perfect location!,Cape Town,5999
River House 3 min from Beach,Cape Town,4195
"Bright, charming and Welcoming semi detached..",Cape Town,503
Cape Town city views,Cape Town,797
Stunning home in city bowl,Cape Town,3244
Linger-Longer Cottage,Cape Town,503
Yoga Shala Accommodation,Cape Town,196
Kloof Street Apartment,Cape Town,1496
"Set in beautiful gardens with views sea ,city etc",Cape Town,7999
Perfect Beachfront Apartment #3,Cape Town,2293
Stunning Light and Airy House,Cape Town,3398
Spacious En-Suite Room with Panoramic Sea Views,Cape Town,1301
Well located loft apartment,Cape Town,294
Charming Victorian double room,Cape Town,448
Family home Kirstenhof Cape Town,Cape Town,1650
Modern and Trendy,Cape Town,1496
Skylight Private Studio,Cape Town,448
Quiet twin room in quirky cottage,Cape Town,406
Sunny 2-Bedroom Apartment in Rondebosch,Cape Town,1203
Seaside Villa in Fishhoek,Cape Town,2531
Central Lock Up And Go Apartment,Cape Town,1147
Beautiful Holiday home,Cape Town,3007
Family friendly Nightingale Close,Cape Town,1007
"Hout Bay with large garden, pool, hot tub and view",Cape Town,2601
Stylish Studio S High above Cape Town,Cape Town,1552
Art Deco Shortmarket St apartment,Cape Town,1203
"Modern, Rustic Heritage Beach Home in Sea Point",Cape Town,2000
Atlantic Seaboard BeachFront Living,Cape Town,797
Picturesque Mountain and sea views,Cape Town,8503
Spacious Green Point Home,Cape Town,3300
Quiet Elegance in Cape Town City Centre!,Cape Town,643
Cosy Apt. with spectacular views,Cape Town,1189
Private studio with seaview and pool,Cape Town,1496
Rodger House,Cape Town,1734
Stunning family home to relax in,Cape Town,4503
Rural Chic in the City,Cape Town,11495
Skye House,Cape Town,1245
"Ave st Charles, Fresnaye House",Cape Town,5202
Luxury Loft Suite at Chameleon Lodge,Cape Town,503
Beautiful house in Cape Town,Cape Town,1678
Navine's Homestay - Budget Single,Cape Town,196
Pondicherry House,Cape Town,3496
Navine Homestay Economy Single,Cape Town,252
"Luxury accommodation, great views.",Cape Town,1119
Living in the Heart of Cape Town,Cape Town,1245
The Penthouse on Beach,Cape Town,5468
Charming & peaceful with great view,Cape Town,727
Standard Room at Lavender House B&B,Cape Town,1203
Standard Double Room,Cape Town,1496
Standard Room,Cape Town,1203
Superior Room in B&B,Cape Town,1496
"Simply Snoekie, Simon's Town",Cape Town,1706
Superior Room in B&B,Cape Town,1496
Spacious quiet family room near Rondebosch Common,Cape Town,503
Family Home in Van Riebeeckshof,Cape Town,2000
"Holiday Home, Claremont",Cape Town,3804
"Sunny, Family-friendly house with sparkling pool",Cape Town,2601
Devil’s Peak Home with habour views,Cape Town,1734
Homely with home cooked meals,Cape Town,294
Lovely upmarket room in a apartment,Cape Town,503
Spacious Loft in Vibrant Woodstock.,Cape Town,797
Fresnaye Family home,Cape Town,2797
Sea Point beach front apartment,Cape Town,2000
Guest-Suite Higgovale Cape Town,Cape Town,895
Apartment 'AB Just Nuisance',Cape Town,783
05SH-Seafacing studio with sea view,Cape Town,951
Lovely Homely Garden Cottage,Cape Town,769
Cape Town Southern Suburbs,Cape Town,2503
Large Stylish Foreshore Apartment,Cape Town,2000
Sunshine and Squirrels,Cape Town,1902
The Cottage,Cape Town,1203
Luxury home with mountain views,Cape Town,4000
1 Bedroom Apartment with balcony,Cape Town,1496
Double Storey Detached House,Cape Town,909
"OCEANTIDE, LONDON ROAD, SEA POINT",Cape Town,1594
Lovely Art deco apartment,Cape Town,1147
One bedroom in comfortable sunny happy family home,Cape Town,685
African Room,Cape Town,587
Spacious room in lovely Greenpoint,Cape Town,699
Spacious Newlands Home - Mountain views & pool,Cape Town,5496
Relaxing home environment in Cape Town,Cape Town,1496
"Spacious, sunny, suburban apartment",Cape Town,252
Clifton Two bedroom sea facing,Cape Town,5496
Clovelly Garden Studio,Cape Town,755
Double Room in Modern Cottage (#2),Cape Town,294
Bishopscourt villa,Cape Town,4293
Afribode Cartwright's 1203 beautiful 2-bedroom,Cape Town,1692
Bright Semi in Observatory,Cape Town,601
Entire Spacious tranquil garden home,Cape Town,3007
Bay Breeze Peace,Cape Town,1398
"Noordhoek Hemp House,incredible elevated sea views",Cape Town,3119
Semi detached cottage,Cape Town,1007
Self catering - Cape Town,Cape Town,643
On the rocks. Wake up to the ocean.,Cape Town,5860
CHARMING farm style property in Noordhoek,Cape Town,3119
CAPE PALMS ACCOMMODATION - CAPE TOWN,Cape Town,755
"Close to the beach, Sea Spray Chalet Muizenberg",Cape Town,1203
Comfy apartment on the beachfront!,Cape Town,2699
Château d'Abbadie,Cape Town,1007
"Modern, spacious, and safe home",Cape Town,895
Loving Cozy Cottage,Cape Town,1007
Spacious 3 bedroom home green point,Cape Town,3007
DA GAMA VILLA ON WATERS EDGE,Cape Town,3007
Dolphin Beach Stay,Cape Town,3636
Sunset Links Beach Villa,Cape Town,6503
Modern Apartment with amazing views,Cape Town,1944
Holiday Accommodation,Cape Town,1105
Modern apartment Cape Town CBD,Cape Town,2503
newly renovated home with views,Cape Town,4000
Luxury beach front apartment,Cape Town,3496
Enchanting mountain cabin 10 min from the beach,Cape Town,671
Designer Loft apartment w Sea Views,Cape Town,1804
"Great, sea view apartment in Green Point",Cape Town,979
Ocean Sunset Dreaming,Cape Town,1496
Surfers Dream - Paradise Loft,Cape Town,1007
1 bedrm apartment in huge garden,Cape Town,1105
Cottage home with garden and pool,Cape Town,797
Twin room in thatched cottage,Cape Town,406
Bright Camps Bay Loft with Stunning Views and Shared Pool,Cape Town,1203
Cosy Studio with Private parking,Cape Town,406
LongBeach Apartment Kommetjie,Cape Town,434
Large Seaside Family Home,Cape Town,4405
Southern Suburbs Cape Town,Cape Town,1748
Everything on Wheels in the Vinyards,Cape Town,8503
Waterfront living on the Canal - Great Location!,Cape Town,1245
spacious secure sunny pool garden,Cape Town,3748
Room in historic Cape Town district,Cape Town,461
CITY CNTR HISTORIC COTTAGE (U) EXPLORE LOCAL LIFE!,Cape Town,1496
CITY CNTR HISTORIC COTTAGE (D) EXPLORE LOCAL LIFE!,Cape Town,1496
3-bedroomed sunny secure apartment,Cape Town,797
Stunning View of Lion's Head from an Apartment in Camps Bay,Cape Town,1203
"Beautiful, spacious Constantia home",Cape Town,9985
Stunning Beach Apartment,Cape Town,601
Contemporary apartment. Sea views,Cape Town,3552
Molteno Cottage,Cape Town,1049
Arum Lilly,Cape Town,1846
Lovely Oranjezicht apartment,Cape Town,853
Garden Studio in Durbanville,Cape Town,475
City Centre Studio Apartment,Cape Town,601
Gordons Bay Accommodation,Cape Town,853
BEAUTIFUL EDEN ON THE BAY APARTMENT,Cape Town,1650
Beautiful apartment with sea view,Cape Town,2000
Perfectly Situated apartment for 2.,Cape Town,853
Double bedroom with sunny balcony inc sea views :),Cape Town,643
Bo-Kaap; Cape Town's Oldest Gem (1),Cape Town,350
Family home in the City!,Cape Town,3105
Ocean Song Beach House. Be by the Seaside.,Cape Town,1622
Eclectic Designer Interior with Epic Table Mountain Views,Cape Town,1664
Midcentury Inspired Cape Town CBD Penthouse,Cape Town,1203
Peaceful B&B in Camps Bay,Cape Town,685
cityloft on adderley terraces,Cape Town,797
The best view in Kalk Bay!,Cape Town,1846
"Large, sunny flat in vibey Regent Road.",Cape Town,755
Cosy Centrally Located Apartment,Cape Town,1496
Sea Point:- Affordable  stylish modern  Studio.,Cape Town,475
Casa a Capri - Cape South Peninsula,Cape Town,5006
Secure Spacious Family Home,Cape Town,1748
"Sunny, Modern Apartment with a View",Cape Town,1007
Brand new Exclusive apartment,Cape Town,11006
A neat bedroom in a cool spot,Cape Town,350
Lovely 1 bed apt in Tamboerskloof,Cape Town,895
Treehouse Terrace Room,Cape Town,545
"Central to all amenities,  bus route & beach.",Cape Town,448
Warm and Friendly House,Cape Town,3007
3 Coral Beach Bloubergstrand,Cape Town,895
Beautiful one- bedroom Constantia cottage,Cape Town,1622
Nature lover's home in popular Bokkemans Estate .,Cape Town,2405
SONNET QUAY HOLIDAY HOME,Cape Town,2000
Blouberg Holiday Cottage,Cape Town,643
Tudor Home in Newlands,Cape Town,4755
Cosy 2 bedroom house to let in Cape Town Central,Cape Town,1496
Signal Hill Villa,Cape Town,11006
Sunny Seapoint apartment,Cape Town,2447
Charming Victorian Villa,Cape Town,5300
Modern Apt with Pool and Private Terrace in Trendy Sea Point,Cape Town,1496
On the beachfront with great views,Cape Town,951
The Cape Town Experience,Cape Town,1496
"Light, Spacious, Central Apartment",Cape Town,699
Frangipani Single,Cape Town,895
Ground floor apartment in Greenways,Cape Town,1007
"Two bedroom, One bathroom apartment",Cape Town,1007
Goddess Room @ The House of Grace,Cape Town,1398
Atlantic Way,Cape Town,2224
2 On Orca - unique beach cottage,Cape Town,2196
Frangipani Cottage Camps Bay,Cape Town,2000
THE VERANDAH ROOM,Cape Town,853
Tastefully decorated Cottage in vibey De Waterkant,Cape Town,1734
The heart of the city,Cape Town,1496
Spacious Sea Point Unit | Cape Town | Free WiFi,Cape Town,545
Trendy Family Home in Somerset West,Cape Town,4000
Welcome to African Dawn,Cape Town,699
Colonial family home on big plot,Cape Town,3846
"LOVELY, COSY  ""STUDIO NEAR THE- BLOUBERG - BEACH""",Cape Town,699
Central 2 Bedroom with huge balcony,Cape Town,1105
Blouberg 1 bedroom apartment,Cape Town,797
Spacious room with ensuite bathroom,Cape Town,489
Enjoy the Rooftop Jacuzzi at a Colourful Home in Sea Point,Cape Town,1398
Walk to the beach & Waterfront,Cape Town,448
Century Views,Cape Town,1804
Heritage site below table mountain,Cape Town,2699
Durbanville Hills-Double ensuite close to walks,Cape Town,322
Glen Beach Main House A (Sleeps 4),Cape Town,9999
Modern Contempary Home in Noordhoek,Cape Town,4503
"Sunny, fresh, Sea view apartment",Cape Town,1356
Ideal Summer Suburbs Home for two families,Cape Town,2797
King Suite Muizenberg Guestique,Cape Town,1049
City apartment in De Waterkant,Cape Town,1594
Noordhoek.Brand new holiday cottage,Cape Town,951
Next to the best beach in Africa,Cape Town,392
"Large, stylish studio heart of CBD",Cape Town,895
Ocean Lover's Dream Villa,NA,3035
Comfortable Sea Point Apartment,Cape Town,475
BEACHFRONT IN BANTRY BAY,Cape Town,2503
Quiet room in Upper Claremont,Cape Town,378
Charming cottage in trendy Obs,Cape Town,839
Kajsa and Marks home in Cape Town,Cape Town,1105
"Spacious, seafront light filled apartment....",Cape Town,1496
Main Villa,Constantia,7580
Sunset Escape - Cape Town Coast,Cape Town,797
"Tranquil family home, Constantia",Cape Town,5496
Spacious family home in suburbs,Cape Town,1944
Quiet garden flat close to beach,Cape Town,671
Upmarket beachfront apartment,Cape Town,1384
Beach Lodge Summer Holiday,Cape Town,601
The Crankshaws,Cape Town,503
Ocean views and walks on the beach,Cape Town,699
Cape Town Family home with view of Table Mountain,Cape Town,2993
❤Central Cape Town: Walk to the Waterfront ❤,Cape Town,1077
Cape Royale Apartment,Cape Town,1496
"The Protea Room, Hout Bay",Cape Town,643
House on the Hill,Cape Town,1203
Cape Cottage,Scarborough,2000
Rameron House. Sunny Home with Style,Cape Town,2140
Hout Bay  peaceful garden cottage in eco-estate,Cape Town,797
Cute cottage near beaches & tourist attractions,Cape Town,2000
Gemütliches Haus nicht weit vom Chapman’s Peak,Cape Town,3160
Modern Newlands family home,Cape Town,3007
"Table Mountain view, convenient & central location",Cape Town,755
"Spacious Modern Unit, Sea View",Cape Town,1105
City bowl family home with pool,Cape Town,6503
Leafy Hideaway Garden Flat with Mountain View,Cape Town,755
LOFT WITH VIEWS CLOSE TO CITY,Cape Town,797
Parkside Flat - Table Mountain View,Cape Town,1161
Charming and historical Victorian Gem,Cape Town,2196
Quaint Seapoint Apartment,Cape Town,1203
Spacious Family House,Cape Town,2293
Beautiful bedroom and bathroom,Cape Town,1007
Chic home for you to relax in !,Cape Town,3007
Studio Apartment with views of Table Mountain,Cape Town,1105
"Two Bed, Light and Airy, Open Plan Apartment",Cape Town,2196
Waterside Cottage - gorgeous 2-bed holiday home,Cape Town,1804
Villa Petit. Garden studio on magnificent property,Cape Town,2951
Family friendly 1920's Rosebank House,Cape Town,2196
Sunny Upmarket Green Point Home,Cape Town,1398
Chillax in Cape Town,Cape Town,1203
"Unwind in a bright, modern, open plan home",Cape Town,1203
"York Rd Apartment, Green Point, Atlantic Seaboard",Cape Town,1804
150 metres from Camps Bay Beach !,Cape Town,7677
Cape Concierge - Bantry Bay villa with pool,Cape Town,11999
Stonehaven Sanctuary,Cape Town,4000
Newly Furnished Green Point Flat. Wifi & Balcony,Cape Town,699
404PZ-1 Bedroom in CBD with pool,Cape Town,951
"Sunny, spacious family home with pool",Cape Town,2293
Light as air with Bojangles,Cape Town,1384
Apartment to rent for only R650 p.d,Cape Town,643
Entertainment Home in Tokai,Cape Town,3496
City Apartment with Leafy Garden,Cape Town,853
"Sea views, open-plan apartment",Cape Town,1007
Large One Bedroom Apartment,Cape Town,755
Self Catering Bachelor Unit,Cape Town,406
APARTMENT IN HEART OF GREEN POINT,Cape Town,2196
Private room in Prime location. No need for a car!,Cape Town,448
Orchid Cottage: Mountain & Sea,Cape Town,406
Cozy bedroom in stylish apartment in Sea Point,Cape Town,378
"Central location, close to Waterfront with parking",Cape Town,643
Melkbos Beach Cottage  Melkbosstrand Cape Town,Cape Town,951
Camps Bay with wonderful views,Cape Town,1147
Hout Bay Family Home,Cape Town,2252
Charming City Cottage,Cape Town,2056
Semi-detached two bedroom cottage,Cape Town,1496
Beautiful Bishopscourt Cottage,Cape Town,2853
Sea Point 1 Bedroom Designer Apartment,Cape Town,811
Camps Bay 3 Bed Apartment,Cape Town,3244
"Modern, Family-friendly Home overlooking Cape Town",Cape Town,11999
Llandudno beach home away from home,Cape Town,1748
Independent studio flat - Camps Bay,Cape Town,559
Modern Apartment in Great Location,Cape Town,895
Charming home in the heart of the Mother City,Cape Town,755
TBC,Cape Town,140
Modern apartment. Ocean & Mountain views,Cape Town,3105
Double Room on Secluded Courtyard- Awesome House!,Cape Town,699
Welcoming Cottage in Claremont,Cape Town,839
Inviting 1-bedroom Wynberg cottage,Cape Town,545
Beach House inspired home in Bokkemanskloof,Cape Town,2503
Central & Spacious,Cape Town,503
Holiday Apartment,Cape Town,1007
Large home w/LARGE lush garden.,Cape Town,1007
Comfortable cottage in gorgeous Kalk Bay,Cape Town,937
Beautiful Hout Bay Family Home,Cape Town,3846
It is a separate room in the garden,Cape Town,489
Contemporary Home with a Rooftop Pool in De Waterkant,Cape Town,2559
"Ferndale Lodge, Constantia",Cape Town,1203
Amazing views and amazing location,Cape Town,1301
"Dolphin Beach, Beachfront Cabana",Cape Town,1804
Woodstock Queengate Loft,Cape Town,1119
Views and tranquility in Llandudno,Cape Town,9006
Luxury De Waterkant penthouse,Cape Town,2727
Duinebosch,Cape Town,853
"Cape Town 
Culemborg Garden Flat",Cape Town,755
Melkhoudt,Cape Town,797
Chapman's View Villa,Cape Town,2601
Beautiful Victorian House,Cape Town,1496
Sea Breeze Rock - 3 Bedroom House,Cape Town,1552
1 acre with tennis court and pool,Cape Town,3804
Cape Vistas High Cape,Cape Town,2657
"Fantastic 2 bedroom, in Hout Bay, Cape Town",Cape Town,503
Easy Living Beach House,Cape Town,3007
Simon's Bay Cottage,Cape Town,1958
"Sunny, spacious, Sea Point flat",Cape Town,1748
"Room in Blouberg, Western Cape",Cape Town,503
Ultimate Style and Luxury in the City,Cape Town,1398
Farm Living - sleeps 4 (2 Adults and 2 children),Cape Town,294
Ground Floor Aptm - 3 mins walk to beach,Cape Town,1552
Top Floor Apt - 3 mins walk to beach,Cape Town,1748
Constantia Hill Villa,Cape Town,1203
Best Neighbourhood,Cape Town,448
Industrial Studio,Cape Town,951
The Pepper Pot,Cape Town,475
"Noordhoek beach life, Noordhoek, Cape Town.",Cape Town,3552
"Perfect, Peaceful Location, City Bowl Cape Town",Cape Town,2000
Lovely Victorian family home,Cape Town,1846
The Mud Hut,Cape Town,1007
Egret's Nest,Cape Town,811
"Simple, warm & central apartment",Cape Town,1301
Spacious 3 bd @ cpt and winelands,Cape Town,2000
Iconic Modern Retro Loft/Penthouse,Cape Town,2503
Dolphin House Seaside Villa,Cape Town,19159
Santa Maria 3 - Bloubergstrand,Cape Town,4251
Santa Maria 4 - Bloubergstrand,Cape Town,4251
Cape Town's city bowl tranquility!!,Cape Town,1301
In the heart of Cape Town with view,Cape Town,1496
Self Catering Apartment,Cape Town,853
Upmarket apartment with sea views,Cape Town,1007
"Oranjezicht Victorian, walk to Cape Town CBD",Cape Town,2000
Firdale Avenue,Cape Town,1398
Home away from home...,Cape Town,1944
Simon's Town- Incredible Panoramic False Bay Views,Cape Town,1035
City Living at its best,Cape Town,4951
Top floor of home with sea views,Cape Town,1203
"Private and secure apartment ,garde",Cape Town,643
Emerald at the Bay - Sunset heaven,Cape Town,1398
The White House on Signal Hill,Cape Town,6796
"Sunny, charming Hastings Cottage",Cape Town,2503
46 Kloofnek Road - Tamboerskloof,Cape Town,1986
Accessible self-catering,Cape Town,503
Beautiful House in Hout Bay,Cape Town,2979
Trendy Table Mountain Apartment,Cape Town,797
Woody s  S/C Holiday Home,Cape Town,5034
Great Value Garden Studio,Cape Town,336
Beachfront Sunsets: Robben Island Room - sea views,"Sunset beach, Cape Town",895
"Amazing location, modern and sunny.",Cape Town,1147
Bo-Kaap; Cape Town's Oldest Gem (2),Cape Town,350
One Bedroom Secure Beach Apartment,Cape Town,1007
Share my beautiful home,Cape Town,420
City views bordering Table Mountain,Cape Town,3496
"3* Twin Gables Guest House, Mamre","Mamre, Cape Town",601
"Charming, modern family home",Cape Town,4755
"Whole house, all facilities incl.",Cape Town,559
Place for 3 or 4 in Green Point - near Waterfront,Cape Town,797
Spacious room in peaceful house,Cape Town,448
Gorgeous & central one bedroom flat,Cape Town,1007
"Modern, clean, 3 bedroom house 400m from beach",Cape Town,3160
Modern Home in Stonehurst Mountain Estate,Cape Town,4000
Peaceful suburban hideaway,Cape Town,1105
"Private suite, Strand.",Cape Town,280
A Slice of Paradise.Good News-Swimming Pool full,Cape Town,2727
Stylish Apartment in Bantry Bay with the Most Amazing Sea View,Cape Town,3007
Modern Classic Victorian Cottage,Cape Town,1426
"original 1920's house , entire home, pool & garden",Cape Town,2405
32 Quarterdeck Road (B),Cape Town,1902
Seaside holiday family house,Cape Town,3986
Quiet Victorian retreat near City,Cape Town,1496
Cosy & Compact 2 floors harbour-view.,Cape Town,601
En-suite Bedroom & Trendy Apartment,Cape Town,448
"46 strawberry lane, the winelands",Cape Town,2797
"Delightfully sunny,relaxing family homestead",Cape Town,2797
03SH-Seafacing studio in Beach rd,Cape Town,951
Observatory Fully furnished room,Cape Town,406
Charming cottage in trendy village,Cape Town,1496
Cozy Studio Amazing Value,Cape Town,392
Mountainview Guesthouse,Cape Town,1860
The Lodge at Atlantic Beach,Cape Town,797
